"State","City","Revenue"
"Alabama","Auburn","889.47"
"Alabama","Hoover","3557.85"
"Alabama","Phenix City","1663.14"
"Arizona","Casas Adobes","6612.72"
"Arizona","Glendale","1977.92"
"Arizona","Sun City","2063.48"
"Arizona","Surprise","11944.52"
"Arizona","Yuma","1564.98"
"California","San Francisco","44963.17"
"California","Santa Cruz","61646.26"
"California","Stockton","12893.42"
"California","Temecula","1452.9"
"California","Twentynine Palms","31581.95"
"California","Woodland","6323.69"
"Colorado","Lakewood","6956.09"
"Colorado","Northglenn","4336.4"
"Illinois","Carpentersville","2714.5"
"Illinois","Chicago","51894.51"
"Illinois","Collinsville","3316.57"
"Montana","Helena","1083.3"
"Nebraska","La Vista","1037.95"
"Nevada","North Las Vegas","17888.53"
"New Hampshire","Manchester","2259.42"
"Pennsylvania","Chester","5557.44"
"Pennsylvania","Hazleton","912.5"
"Pennsylvania","Wilkinsburg","2494.74"
"Tennessee","Columbia","17695.43"
"Tennessee","Murfreesboro","7847.21"
"Texas","Bedford","3479.71"
"Texas","Corsicana","971.15"
"Texas","Flower Mound","1198.55"
"Texas","Greenville","3516.17"
"Texas","Houston","12858.91"
"Texas","Huntsville","5364.83"
"Texas","Lake Jackson","2139.37"
"Texas","Seguin","2283.51"
"Texas","Sulphur Springs","6864.97"
"Texas","Texas City","1794.82"
"Utah","Lehi","2305.22"
"Vermont","Bennington","33996.95"
"Virginia","Herndon","11954.12"
"Virginia","Rose Hill","10810.14"
"Washington","Cottage Lake","1064.68"
"Washington","Marysville","355.2"
"Washington","Parkland","2983.88"
"Washington","Puyallup","1900.13"
"Washington","Redmond","13475.56"
"Washington","Seattle","7352.98"
"West Virginia","Beckley","7795.18"
"Wisconsin","Appleton","381.8"
"Wisconsin","Green Bay","6421.62"
"Wisconsin","Madison","263.45"
"Wisconsin","Oak Creek","2831.86"
"Wisconsin","Oshkosh","1905.7"
"Wisconsin","Sun Prairie","1171.78"
